epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,701.578,0.94263,0.66143,0.94115,0.76552,0.67193,0.73454,0.51388,0.87157,0.52243,0.91674,0.000332812,0.000332812,0.000332812
2,1397.99,0.93945,0.52776,0.942,0.81083,0.75358,0.79266,0.56375,0.87453,0.46477,0.91987,0.000600197,0.000600197,0.000600197
3,2087.38,0.93114,0.50437,0.93923,0.80598,0.76082,0.80014,0.57024,0.86341,0.44693,0.91356,0.000801582,0.000801582,0.000801582
4,2774.6,0.91223,0.48382,0.93151,0.81159,0.74632,0.80144,0.57354,0.85309,0.45244,0.91264,0.000703,0.000703,0.000703
5,3456.03,0.89703,0.46845,0.92752,0.83155,0.77042,0.81096,0.58401,0.84773,0.43213,0.90898,0.000604,0.000604,0.000604
6,4137.03,0.87878,0.44705,0.92069,0.82769,0.77275,0.81373,0.59147,0.82387,0.41326,0.90361,0.000505,0.000505,0.000505
7,4816.71,0.86819,0.43413,0.91806,0.84422,0.80286,0.83282,0.60562,0.82657,0.40611,0.90156,0.000406,0.000406,0.000406
8,5494.35,0.85428,0.41965,0.91418,0.84175,0.81624,0.84075,0.61521,0.81846,0.39169,0.90169,0.000307,0.000307,0.000307
9,6173.53,0.83881,0.40253,0.90802,0.84567,0.82754,0.85047,0.62121,0.80585,0.37929,0.89619,0.000208,0.000208,0.000208
10,6851.08,0.82366,0.38836,0.90226,0.86325,0.82132,0.85326,0.62915,0.7963,0.37417,0.8931,0.000109,0.000109,0.000109
