epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.90194,1.06104,1.87954,0.91444,0.39599,0.55266,0.47568,0.30143,0.97387,0.9996,0.91429,0.000408333,0.000408333,0.000408333
2,14.0026,0.98228,0.92055,0.89759,0.76795,0.70674,0.75173,0.48254,0.85085,0.68055,0.88519,0.00079233,0.00079233,0.00079233
3,19.9899,0.96414,0.88746,0.89106,0.77634,0.69543,0.76452,0.4758,0.9358,0.75944,0.89141,0.00114333,0.00114333,0.00114333
4,25.9994,0.98402,0.82953,0.89257,0.78795,0.75557,0.77974,0.50106,0.89595,0.817,0.89428,0.0011015,0.0011015,0.0011015
5,32.0845,0.95334,0.7174,0.88739,0.8497,0.75246,0.82716,0.54685,0.86094,0.60196,0.88352,0.001052,0.001052,0.001052
6,38.1759,0.92389,0.63965,0.8785,0.86485,0.74785,0.83545,0.55607,0.88392,0.54517,0.88867,0.0010025,0.0010025,0.0010025
7,44.2669,0.94116,0.62871,0.88963,0.8644,0.79951,0.85416,0.56966,0.82918,0.53927,0.88611,0.000953,0.000953,0.000953
8,50.3479,0.8692,0.57938,0.86829,0.85235,0.82991,0.86069,0.59486,0.80676,0.52067,0.87868,0.0009035,0.0009035,0.0009035
9,56.4969,0.82709,0.55076,0.85611,0.84024,0.83323,0.85552,0.58787,0.80059,0.5062,0.87386,0.000854,0.000854,0.000854
10,62.5514,0.83132,0.54029,0.86025,0.90229,0.78174,0.85879,0.5926,0.79978,0.49393,0.87766,0.0008045,0.0008045,0.0008045
11,68.6869,0.83031,0.52469,0.85854,0.90455,0.78815,0.84728,0.58786,0.79416,0.49464,0.87048,0.000755,0.000755,0.000755
12,74.7311,0.83652,0.52079,0.85958,0.90681,0.84281,0.87878,0.61097,0.80621,0.49353,0.86787,0.0007055,0.0007055,0.0007055
13,80.7827,0.81062,0.50649,0.85501,0.88907,0.84534,0.88367,0.6204,0.76261,0.47463,0.86655,0.000656,0.000656,0.000656
14,86.8478,0.79906,0.4903,0.85181,0.88776,0.83308,0.88529,0.61799,0.76514,0.45955,0.86812,0.0006065,0.0006065,0.0006065
15,92.9833,0.77913,0.47726,0.84562,0.87933,0.86897,0.88616,0.62011,0.78885,0.45525,0.86972,0.000557,0.000557,0.000557
16,112.848,0.76016,0.45884,0.85356,0.90393,0.83753,0.88514,0.62894,0.77245,0.45234,0.86586,0.0005075,0.0005075,0.0005075
17,118.826,0.7522,0.45061,0.8481,0.87896,0.86593,0.89468,0.63339,0.76708,0.44593,0.86776,0.000458,0.000458,0.000458
18,124.748,0.74172,0.44796,0.85031,0.9255,0.83188,0.89188,0.63426,0.76836,0.45261,0.86682,0.0004085,0.0004085,0.0004085
19,130.898,0.73583,0.44196,0.84934,0.89354,0.867,0.90006,0.64067,0.75372,0.42286,0.86332,0.000359,0.000359,0.000359
20,137.162,0.73293,0.43134,0.84854,0.90588,0.85765,0.90166,0.64308,0.74177,0.41697,0.85771,0.0003095,0.0003095,0.0003095
21,145.435,0.71833,0.42777,0.84077,0.8911,0.86755,0.90085,0.6417,0.73324,0.41796,0.85756,0.00026,0.00026,0.00026
22,153.495,0.71017,0.41599,0.84276,0.94278,0.82278,0.89912,0.65095,0.74107,0.41161,0.8623,0.0002105,0.0002105,0.0002105
23,161.312,0.70301,0.407,0.83801,0.89033,0.88089,0.89975,0.64481,0.73065,0.41009,0.85756,0.000161,0.000161,0.000161
24,169.071,0.69168,0.40143,0.83571,0.87403,0.87581,0.90209,0.65307,0.72895,0.40045,0.85731,0.0001115,0.0001115,0.0001115
25,177.169,0.68618,0.39562,0.83586,0.89132,0.87362,0.90151,0.65529,0.72104,0.39888,0.8548,6.2e-05,6.2e-05,6.2e-05
