epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.3646,1.92039,65.7387,1.04417,0.61798,0.55906,0.54436,0.26655,1.79464,1.56017,1.04485,0.000664646,0.000664646,0.000664646
2,140.296,1.94005,2.14289,1.04466,0.73147,0.50394,0.56627,0.29102,nan,nan,nan,0.00127859,0.00127859,0.00127859
3,204.954,1.86952,2.13792,1.00987,0.56052,0.55906,0.53468,0.25502,1.71793,1.69295,1.02655,0.00183974,0.00183974,0.00183974
4,270.916,1.82584,1.94526,1.0063,0.64531,0.43307,0.5205,0.24154,1.91648,nan,1.07956,0.0017624,0.0017624,0.0017624
5,335.144,1.74243,1.80937,0.99147,0.82494,0.66142,0.71353,0.37976,1.62921,1.36914,0.99505,0.0016832,0.0016832,0.0016832
6,399.177,1.65078,1.67364,0.95918,0.79818,0.53543,0.65407,0.37835,1.61554,1.81699,0.99501,0.001604,0.001604,0.001604
7,462.963,1.6989,1.64612,0.98013,0.6475,0.2459,0.37004,0.18717,1.71031,3.35877,1.0117,0.0015248,0.0015248,0.0015248
8,527.11,1.60204,1.56732,0.96144,0.90618,0.65354,0.78823,0.45935,1.48638,1.08335,0.95686,0.0014456,0.0014456,0.0014456
9,591.511,1.57741,1.45773,0.9441,0.90526,0.67712,0.78428,0.4761,1.44696,1.12805,0.95511,0.0013664,0.0013664,0.0013664
10,655.412,1.50694,1.36935,0.93166,0.91128,0.69291,0.79972,0.4949,1.40363,1.12144,0.93458,0.0012872,0.0012872,0.0012872
11,719.459,1.55863,1.4223,0.92777,0.92679,0.69778,0.79578,0.46971,1.4916,1.21625,0.9571,0.001208,0.001208,0.001208
12,783.709,1.4756,1.31806,0.91149,0.92418,0.76783,0.84002,0.46069,1.49028,0.96873,0.95381,0.0011288,0.0011288,0.0011288
13,847.475,1.45645,1.29806,0.92265,0.9315,0.7496,0.82824,0.4743,1.46059,1.04645,0.94792,0.0010496,0.0010496,0.0010496
14,911.308,1.46859,1.24543,0.91558,0.95995,0.74803,0.8412,0.48367,1.49408,0.96566,0.9535,0.0009704,0.0009704,0.0009704
15,975.49,1.46749,1.27454,0.90845,0.9593,0.74233,0.85879,0.52959,1.37589,0.93404,0.92549,0.0008912,0.0008912,0.0008912
16,1053.39,1.38897,1.19786,0.88984,0.91743,0.78736,0.845,0.51524,1.35935,0.93918,0.93128,0.000812,0.000812,0.000812
17,1116.81,1.34435,1.10599,0.88449,0.93946,0.73319,0.84795,0.52078,1.37277,0.93445,0.92927,0.0007328,0.0007328,0.0007328
18,1180.14,1.33425,1.08431,0.89572,0.94346,0.7883,0.86761,0.52194,1.45929,0.89444,0.93685,0.0006536,0.0006536,0.0006536
19,1243.51,1.30938,1.0071,0.8938,0.86445,0.79528,0.85329,0.50865,1.40369,0.92773,0.92474,0.0005744,0.0005744,0.0005744
20,1307.26,1.35381,1.03648,0.91112,0.96432,0.80315,0.89262,0.56002,1.3408,0.8602,0.91751,0.0004952,0.0004952,0.0004952
21,1372.21,1.30235,0.97069,0.88526,0.95351,0.80749,0.88481,0.54187,1.35088,0.83599,0.92201,0.000416,0.000416,0.000416
22,1436.3,1.33362,1.01782,0.89424,0.93772,0.82985,0.9004,0.54502,1.40312,0.80495,0.92881,0.0003368,0.0003368,0.0003368
23,1500.88,1.26754,0.92298,0.88181,0.95432,0.82249,0.89979,0.57515,1.32731,0.80185,0.91294,0.0002576,0.0002576,0.0002576
24,1564.95,1.23816,0.87865,0.87066,0.9467,0.83913,0.8983,0.55544,1.36501,0.80653,0.91751,0.0001784,0.0001784,0.0001784
25,1629.22,1.24082,0.8892,0.85448,0.97058,0.8189,0.9039,0.57244,1.33332,0.76841,0.91113,9.92e-05,9.92e-05,9.92e-05
